127.0.0.1 - - [30/Jan/2023:14:46:15 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:44 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/layout/layout.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/layout/layout.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:49:53 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:50:15 -0300] "POST /Vendas/pages/principal.jsf HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:50:16 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:50:16 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:50:16 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:52:11 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:52:11 -0300] "GET /Vendas/javax.faces.resource/style.css.jsf?ln=css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:52:11 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:52:19 -0300] "GET /Vendas/pages/principal.jsf HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:52:19 -0300] "GET /Vendas/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
